date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:55	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:55%20GMT	https://travocrm.com/profile/company_details_logo/16304732510.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16304732510.2c.delayed	(from https://www.travocrm.com/)
15:31:55	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:55%20GMT	http://travocrm.com/profile/company_details_logo/16493374230.jpg	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16493374230.jpg	(from https://www.travocrm.com/)
15:31:56	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:56%20GMT	https://travocrm.com/profile/company_details_logo/16493374230.jpg	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16493374230.2e.delayed	(from https://www.travocrm.com/)
15:31:56	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:56%20GMT	http://travocrm.com/profile/company_details_logo/16687587540.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16687587540.png	(from https://www.travocrm.com/)
15:31:56	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:56%20GMT	https://travocrm.com/profile/company_details_logo/16687587540.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16687587540.30.delayed	(from https://www.travocrm.com/)
15:31:57	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:57%20GMT	http://travocrm.com/profile/company_details_logo/16168248570.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16168248570.png	(from https://www.travocrm.com/)
15:31:57	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:57%20GMT	https://travocrm.com/profile/company_details_logo/16168248570.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16168248570.32.delayed	(from https://www.travocrm.com/)
15:31:57	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:57%20GMT	http://travocrm.com/profile/company_details_logo/1573818247.jpeg	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/1573818247.jpeg	(from https://www.travocrm.com/)
15:31:58	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:58%20GMT	https://travocrm.com/profile/company_details_logo/1573818247.jpeg	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/1573818247.34.delayed	(from https://www.travocrm.com/)
15:31:58	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:58%20GMT	http://travocrm.com/profile/company_details_logo/16492490450.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16492490450.png	(from https://www.travocrm.com/)
15:31:58	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:58%20GMT	https://travocrm.com/profile/company_details_logo/16492490450.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16492490450.36.delayed	(from https://www.travocrm.com/)
15:31:59	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:59%20GMT	http://travocrm.com/profile/company_details_logo/16608156140.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16608156140.png	(from https://www.travocrm.com/)
15:31:59	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:01:59%20GMT	https://travocrm.com/profile/company_details_logo/16608156140.png	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16608156140.38.delayed	(from https://www.travocrm.com/)
15:31:59	351/351	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Feb%202023%2010:01:59%20GMT	http://travocrm.com/profile/company_details_logo/16406778450.jpg	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16406778450.jpg	(from https://www.travocrm.com/)
15:32:00	74/74	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2010:02:00%20GMT	https://travocrm.com/profile/company_details_logo/16406778450.jpg	C:/My%20Web%20Sitesh/hii/travocrm.com/profile/company_details_logo/16406778450.3a.delayed	(from https://www.travocrm.com/)
